    nm         	 V
9.580138e+001	-1.077000e+000
9.570373e+001	-1.080000e+000
9.560607e+001	-1.081500e+000
9.550841e+001	-1.082625e+000
9.541075e+001	-1.081500e+000
9.531310e+001	-1.083000e+000
9.521544e+001	-1.087125e+000
9.511778e+001	-1.087500e+000
9.502013e+001	-1.088625e+000
9.492247e+001	-1.089750e+000
9.482481e+001	-1.089375e+000
9.472716e+001	-1.090125e+000
9.462950e+001	-1.093875e+000
9.453184e+001	-1.097250e+000
9.443418e+001	-1.097250e+000
9.433653e+001	-1.099125e+000
9.423887e+001	-1.100250e+000
9.414121e+001	-1.098375e+000
9.404356e+001	-1.102125e+000
9.394590e+001	-1.102875e+000
9.384824e+001	-1.105500e+000
9.375059e+001	-1.108125e+000
9.365293e+001	-1.109625e+000
9.355527e+001	-1.109250e+000
9.345761e+001	-1.110000e+000
9.335996e+001	-1.114125e+000
9.326230e+001	-1.114875e+000
9.316464e+001	-1.116000e+000
9.306699e+001	-1.117500e+000
9.296933e+001	-1.117875e+000
9.287167e+001	-1.120125e+000
9.277402e+001	-1.122000e+000
9.267636e+001	-1.125000e+000
9.257870e+001	-1.123875e+000
9.248105e+001	-1.126875e+000
9.238339e+001	-1.128750e+000
9.228573e+001	-1.129500e+000
9.218807e+001	-1.132125e+000
9.209042e+001	-1.132500e+000
9.199276e+001	-1.132875e+000
9.189510e+001	-1.136625e+000
9.179745e+001	-1.137375e+000
9.169979e+001	-1.141125e+000
9.160213e+001	-1.143375e+000
9.150448e+001	-1.139625e+000
9.140682e+001	-1.143000e+000
9.130916e+001	-1.144875e+000
9.121150e+001	-1.147875e+000
9.111385e+001	-1.149750e+000
9.101619e+001	-1.151250e+000
9.091853e+001	-1.152000e+000
9.082088e+001	-1.152000e+000
9.072322e+001	-1.156125e+000
9.062556e+001	-1.159125e+000
9.052791e+001	-1.159125e+000
9.043025e+001	-1.161750e+000
9.033259e+001	-1.161000e+000
9.023493e+001	-1.161750e+000
9.013728e+001	-1.163625e+000
9.003962e+001	-1.166625e+000
8.994196e+001	-1.170000e+000
8.984431e+001	-1.171125e+000
8.974665e+001	-1.171875e+000
8.964899e+001	-1.173000e+000
8.955134e+001	-1.174500e+000
8.945368e+001	-1.177125e+000
8.935602e+001	-1.177500e+000
8.925836e+001	-1.180125e+000
