    nm         	 V
2.000013e+002	-8.002500e-001
1.998060e+002	-8.028750e-001
1.996106e+002	-8.025000e-001
1.994153e+002	-8.055000e-001
1.992200e+002	-8.066250e-001
1.990247e+002	-8.066250e-001
1.988294e+002	-8.073750e-001
1.986341e+002	-8.107500e-001
1.984388e+002	-8.111250e-001
1.982434e+002	-8.111250e-001
1.980481e+002	-8.133750e-001
1.978528e+002	-8.148750e-001
1.976575e+002	-8.167500e-001
1.974622e+002	-8.178750e-001
1.972669e+002	-8.205000e-001
1.970716e+002	-8.197500e-001
1.968762e+002	-8.212500e-001
1.966809e+002	-8.231250e-001
1.964856e+002	-8.235000e-001
1.962903e+002	-8.272500e-001
1.960950e+002	-8.280000e-001
1.958997e+002	-8.291250e-001
1.957044e+002	-8.298750e-001
1.955090e+002	-8.325000e-001
1.953137e+002	-8.340000e-001
1.951184e+002	-8.358750e-001
1.949231e+002	-8.377500e-001
1.947278e+002	-8.377500e-001
1.945325e+002	-8.407500e-001
1.943372e+002	-8.422500e-001
1.941418e+002	-8.426250e-001
1.939465e+002	-8.445000e-001
1.937512e+002	-8.475000e-001
1.935559e+002	-8.471250e-001
1.933606e+002	-8.493750e-001
1.931653e+002	-8.512500e-001
1.929700e+002	-8.520000e-001
1.927746e+002	-8.527500e-001
1.925793e+002	-8.572500e-001
1.923840e+002	-8.576250e-001
1.921887e+002	-8.591250e-001
1.919934e+002	-8.613750e-001
1.917981e+002	-8.617500e-001
1.916028e+002	-8.625000e-001
1.914075e+002	-8.666250e-001
1.912121e+002	-8.670000e-001
1.910168e+002	-8.685000e-001
1.908215e+002	-8.703750e-001
1.906262e+002	-8.711250e-001
1.904309e+002	-8.718750e-001
1.902356e+002	-8.730000e-001
1.900403e+002	-8.771250e-001
1.898449e+002	-8.786250e-001
1.896496e+002	-8.778750e-001
1.894543e+002	-8.793750e-001
1.892590e+002	-8.812500e-001
1.890637e+002	-8.850000e-001
1.888684e+002	-8.846250e-001
1.886731e+002	-8.868750e-001
1.884777e+002	-8.876250e-001
1.882824e+002	-8.887500e-001
1.880871e+002	-8.928750e-001
1.878918e+002	-8.951250e-001
1.876965e+002	-8.951250e-001
1.875012e+002	-8.966250e-001
1.873059e+002	-8.981250e-001
1.871105e+002	-8.985000e-001
1.869152e+002	-9.022500e-001
1.867199e+002	-9.037500e-001
1.865246e+002	-9.022500e-001
1.863293e+002	-9.045000e-001
1.861340e+002	-9.060000e-001
1.859387e+002	-9.108750e-001
1.857433e+002	-9.093750e-001
1.855480e+002	-9.123750e-001
1.853527e+002	-9.112500e-001
1.851574e+002	-9.135000e-001
1.849621e+002	-9.180000e-001
1.847668e+002	-9.191250e-001
1.845715e+002	-9.198750e-001
1.843761e+002	-9.213750e-001
1.841808e+002	-9.206250e-001
1.839855e+002	-9.232500e-001
1.837902e+002	-9.281250e-001
1.835949e+002	-9.281250e-001
1.833996e+002	-9.273750e-001
1.832043e+002	-9.296250e-001
1.830090e+002	-9.322500e-001
1.828136e+002	-9.341250e-001
1.826183e+002	-9.363750e-001
1.824230e+002	-9.382500e-001
1.822277e+002	-9.375000e-001
1.820324e+002	-9.401250e-001
1.818371e+002	-9.427500e-001
1.816418e+002	-9.435000e-001
1.814464e+002	-9.461250e-001
1.812511e+002	-9.472500e-001
1.810558e+002	-9.468750e-001
1.808605e+002	-9.510000e-001
1.806652e+002	-9.513750e-001
1.804699e+002	-9.525000e-001
1.802746e+002	-9.547500e-001
1.800792e+002	-9.558750e-001
1.798839e+002	-9.573750e-001
1.796886e+002	-9.588750e-001
1.794933e+002	-9.615000e-001
1.792980e+002	-9.626250e-001
1.791027e+002	-9.633750e-001
1.789074e+002	-9.663750e-001
1.787120e+002	-9.678750e-001
1.785167e+002	-9.690000e-001
1.783214e+002	-9.723750e-001
1.781261e+002	-9.716250e-001
1.779308e+002	-9.735000e-001
1.777355e+002	-9.761250e-001
